Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3332721	Chronique d'un été (Paris 1960) /Janus Films ; Cineteca Bologna ; Argos Films ; Anatole Dauman présente ; un film de Jean Rouch et Edgar Morin.	Paris 1960;Title on container:Chronicle of a summer	[New York] :Criterion Collection,[2013]	1 videodisc (90 minutes) :sound, black and white ;4 3/4 in. +1 booklet (33 pages : illustrations ; 19 cm)	"Originally produced as a motion picture in 1961.;Special features: New 2K digital master from the Cineteca di Bologna restoration; ""Un été + 50"" (2011), a seventy-five-minute documentary featuring outtakes from the film; Archival interviews with co-director Jean Rouch and Marceline Loridan; New interview with anthropology professor Faye Ginsburg. Booklet featuring an essay by scholar Sam Di Iorio."	By interviewing a group of Paris residents in the summer of 1960, Rouch and Morin reveal the hopes and dreams of a wide array of people, and give us a document of a time and place with extraordinary depth.	Happiness--France--Paris.	France--Social conditions--1945-1995.	Documentary films.--lcgft;Ethnographic films.--lcgft;Nonfiction films.--lcgft;Cinéma vérité.	Dauman, Anatole,1925-1998,producer.;Rouch, Jean,director,interviewer.;Morin, Edgar,director,interviewer.;Loridan, Marceline,1928-interviewee.;Parolini, Maria Ludovica,1931-interviewee.;Morillère, Roger,director of photography.;Coutard, Raoul,director of photography.;Tarbès, Jean-Jacques,director of photography.;Brault, Michel,1928-2013,director of photography.;Barbaud, Pierre,composer (expression)	Janus Films,production company.;Cineteca comunale (Bologna, Italy),production company.;Argos Films,production company.;Criterion Collection (Firm),film distributor.
3407636	The power of nightmares  :the rise of the politics of fear /BBC ; written and produced by Adam Curtis.	Rise of the politics of fear	[England] :BBC ;[2004];[Brooklyn, NY] :Distributed by Kunaki, LLC,[2010];[Chicago, IL] :PD Productions,[2010];©2004	1 videodisc (180 min.) :sound, color with black and white sequences ;4 3/4 in.	"Title from opening credit frames.;Originally broadcast on the BBC during October and Novermber, 2004.;""Requirements to access DVD-ROM features: PC with a DVD-ROM drive with a DVD decoder installed.  Windows 95 or higher with Internet Explorer 5.0 or higher. Some of the DVD-ROM features may not work on a Macintosh.  This DVD will not work in a CD-ROM drive.  Internet access may be required for certain features""--Container."	This 3-part mini-series explores the origins of Islamic fundamentalism in the Middle East, and neoconservatism in America, the parallels between these movements, and their effect on the world today.	Terrorism.;Conservatism--History--20th century.;Islamic fundamentalism--History--20th century.;Propaganda.;Fear.;Social control.	United States--Foreign relations--Middle East.;Middle East--Foreign relations--United States.	Documentary films.--lcgft;Nonfiction television programs.--lcgft	Curtis, Adam,1955-writer,producer,narrator.;Horrocks, Peter,1959-producer.	British Broadcasting Corporation.;PD Productions.;Kunaki (Firm)
3407632	Adam Curtis :the century of the self /BBC ; written and produced by Adam Curtis.	Title on container and disc label:Century of the self	[Place of publication not identified] :Progressive Press,[date of publication not identified]	1 videodisc (236 min.) :sound, color and black and white ;4 3/4 in.	"""V038715 A 8D""--Disc surface.;Originally produced as a four part documentary series in 2002."	Adam Curtis unearths how capitalists and governments use Freudian psychology to influence and manipulate public opinion and consumption.	Political psychology.;Capitalism--Psychological aspects.;Consumption (Economics)--Psychological aspects.		Documentary films.--lcgft	Curtis, Adam,1955-	British Broadcasting Corporation.
3415831	Dan Albert's paella =La paella de Daniel Albert  /a film by James D. Fernández and Luis Argeo ; White Stone Ridge Productions.	Paella de Daniel Albert;Title from disc surface:Dan Albert's la paella	[Asturias] :White Stone Ridge Productions,[2013];©2013.	1 videodisc (approximately 35 min.) :sound, color ;4 3/4 in.	Textual extras: Sinopsis/synopsis; ficha técnica/fact sheet; Monterey; antecedentes/background (notes about Spanish immigrants in the United States).	Year: 2012. A young Spanish journalist travels to Monterey, California in search of a story about the Spanish immigrants who settled in the region almost a century before. There she meets Dan Albert, successful son of immigrants, who treats her to a paella that has been simmering for over one hundred years.	Children of immigrants--California--Monterey.;Spaniards--California--Monterey.	California--Emigration and immigration.		Fernández, James D.,1961-screenwriter,film director,film producer.;Fernández, Luis Argeo,1975-screenwriter,film director,film producer.;Franco, Vicente,director of photography.;Brozman, Bob,musician.;Cadenas Cañón, Isabel,1982-narrator.	White Stone Ridge Productions,production company.
3416008	12 years a slave /Fox Searchlight Pictures ; directed by Steve McQueen ; screenplay by John Ridley ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner ; produced by Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas ; executive producers, Tessa Ross, John Ridley ; Regency Enterprises and River Road Entertainment present a River Road, Plan B, and New Regency production ; in association with Film4 ; a film by Steve McQueen.	Twelve years a slave	Beverly Hills, California :Twentieth Century Fox Home Entertainment,[2014];©2014	1 videodisc (approximately 134 minutes) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2013.;Based on the book Twelve years a slave by Solomon Northup.;Extras: The team; The score; Sneak peek.	Based on the true story of Solomon Northup. It is 1841, and Northup, an accomplished, free citizen of New York, is kidnapped and sold into slavery. Stripped of his identity and deprived of all dignity, Northup is ultimately purchased by ruthless plantation owner Edwin Epps and must find the strength within to survive. Filled with powerful performances by an astonishing cast including Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Brad Pitt, and newcomer Lupita Nyong'o, 12 Years a Slave is both an unflinching account of slavery in American history and a celebration of the indomitable power of hope.	Slaves--United States--Drama.;African Americans--Drama.;Plantation life--Louisiana--History--19th century--Drama.;Slavery--Louisiana--History--19th century--Drama.;Kidnapping--United States--Drama.			McQueen, Steve,1969-film director,film producer.;Ridley, John,1965-screenwriter,film producer.;Pitt, Brad,1963-film producer,actor.;Gardner, Dede,film producer.;Kleiner, Jeremy,film producer.;Pohlad, William,film producer.;Milchan, Arnon,film producer.;Katagas, Anthony,film producer.;Ross, Tessa,film producer.;Ejiofor, Chiwetel,1977-actor.;Fassbender, Michael,1977-actor.;Cumberbatch, Benedict,1976-actor.;Dano, Paul,1984-actor.;Dillahunt, Garret,1964-actor.;Giamatti, Paul,actor.;McNairy, Scoot,actor.;Nyong'o, Lupita,actor.;Oduye, Adepero,actor.;Paulson, Sarah,1974-actor.;Williams, Michael Kenneth,actor.;Woodard, Alfre,1953-actor.;Chalk, Chris(Christopher Eugene),actor.;Bobbitt, Sean,director of photography.;Stockhausen, Adam,production designer.;Walker, Joe,editor of moving image work.;Norris, Patricia,costume designer.;Zimmer, Hans,composer (expression);Motion picture adaptation of (work):Northup, Solomon,1808-1863?Twelve years a slave.	Fox Searchlight Pictures,production company.;Regency Enterprises,presenter.;River Road Entertainment (Firm),presenter,production company.;Plan B (Firm),production company.;New Regency (Firm),production company.;FilmFour (Firm),production company.;Twentieth Century Fox Home Entertainment, Inc.,film distributor.
3416004	Lee Daniels' the butler /directed by Lee Daniels ; written by Danny Strong ; produced by Pamela Oas Williams ; produced by Laura Ziskin ; produced by Lee Daniels ; produced by Buddy Patrick ; produced by Cassian Elwes ; executive producers, Michael Finley, Sheila C. Johnson, Brett Johnson ; executive producers, Matthew Salloway, Earl W. Stafford, Danny Strong ; executive producers, Bob Weinstein, Harvey Weinstein ; executive producers, Len Blavatinik, Aviv Giladi, Vince Holden ; executive producers, James T. Bruce IV, R. Bryan Wright, Liz Destro, Jordan Kessler ; executive producers, Hilary Shor and Adam Merims ; the Weinstein Company presents a Lee Daniels film ; a Laura Ziskin production in association with Windy Hill Pictures, Follow Through Productions, Salamander Pictures and Pam Williams Productions.	Butler	Beverly Hills, California :Anchor Bay Entertainment :Starz Media,[2014];©2014	1 videodisc (132 min.) :DVD video, sound, color ;4 3/4 in.	"Inspired by the article ""A butler well served by this election"" by Wil Haygood.;Originally released as a motion picture in 2013.;Bonus features: Lee Daniels' The Butler: an American Story (behind-the-scenes documentary); Deleted scenes; The original freedom riders; ""You and I ain't nothin' no more"" performed by Gladys Knight and Lenny Kravitz (music video); Gag reel."	Inspired by a true story, Cecil Gaines is a devoted husband, father, and White House butler who served eight Presidential administrations during the turbulent politics and civil rights battles of twentieth century America.	Butlers--United States--Biography--Drama.;Butlers--United States--Drama.;Presidents--United States--Staff--Drama.;Families--Drama.	United States--Politics and government--Drama.;United States--Social life and customs--Drama.		Daniels, Lee,1959-film director,film producer.;Strong, Danny,1974-screenwriter,film producer.;Williams, Pamela Oas,film producer.;Ziskin, Laura,film producer.;Patrick, Buddy,1984-film producer.;Elwes, Cassian,1959-film producer.;Finley, Michael,1973 March 6-film producer.;Johnson, Sheila C.,film producer.;Johnson, Brett,film producer.;Salloway, Matthew,film producer.;Stafford, Earl W.,film producer.;Weinstein, Bob,1953-film producer.;Weinstein, Harvey,1952-film producer.;Blavatinik, Len,film producer.;Giladi, Aviv,film producer.;Holden, Vince,film producer.;Bruce, James T.,1984-film producer.;Wright, R. Bryan,film producer.;Destro, Liz,film producer.;Kessler, Jordan,film producer.;Shor, Hilary,film producer.;Merims, Adam,film producer.;Whitaker, Forest,actor.;Winfrey, Oprah,actor.;Carey, Mariah,actor.;Cusack, John,1966-actor.;Fonda, Jane,1937-actor.;Gooding, Cuba,Jr.,1968-actor.;Howard, Terrence,actor.;Kravitz, Lenny,actor,performer.;Marsden, James,1973-actor.;Oyelowo, David,actor.;Pettyfer, Alex,1990-actor.;Redgrave, Vanessa,1937-actor.;Rickman, Alan,actor.;Schreiber, Liev,actor.;Williams, Robin,1951-2014,actor.;Ameen, Aml,1985-actor.;Domingo, Colman,actor.;Ellis, Nelsan,actor.;Kelley, Elijah,actor.;Kelly, Minka,1980-actor.;Lenox, Adriane,actor.;Mo(Mo McRae),actor.;Walker, Pernell,actor.;Williams, Jesse,1981-actor.;Williams, Clarence,1939-actor.;Dunn, Andrew(Andrew William),director of photography.;Galvin, Tim,production designer.;Klotz, Joe,film editor.;Carter, Ruthe,costume designer.;Leão, Rodrigo,composer (expression);Knight, Gladys,1944-performer.;Haygood, Wil.Butler, a witness to history.Motion picture adaptation of (work):;Haygood, Wil.Butler well served by this election.Motion picture adaptation of (work):	Weinstein Company,production company.;Windy Hill Pictures,production company.;Follow Through Productions,production company.;Salamander Pictures,production company.;Pam Williams Productions,production company.;Anchor Bay Entertainment, Inc.,film distributor.
3416013	Saving Mr. Banks.	Saving Mister Banks	Burbank, CA :Buena Vista Home Entertainment,[2014]	1 videodisc (approximately 125 minutes) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2013.;All language options may not be present on container packaging.;Bonus features: Deleted scene: Nanny Song.	When P.L. Travers travels from London to Hollywood in 1961 to discuss Walt Disney's desire to bring her beloved character Mary Poppins to the motion picture screen (a quest he began in the 1940s as a promise to his two daughters), Disney meets a prim, uncompromising sexagenarian not only suspect of the impresario's concept for the film, but a woman struggling with her own past. During her stay in California, Travers' reflects on her difficult childhood in 1906 Australia.	Motion picture industry--Drama.;Motion pictures--Production and direction--Drama.			Hancock, John Lee,film director.;Marcel, Kelly,1974-screenwriter.;Smith, Sue,1959-screenwriter.;Owen, Alison,1961-film producer.;Collie, Ian,film producer.;Steuer, Philip,film producer.;Thompson, Emma,actor.;Hanks, Tom,actor.;Giamatti, Paul,actor.;Schwartzman, Jason,1980-actor.;Whitford, Bradley,actor.;Farrell, Colin,1976-actor.;Novak, B. J.,1979-actor.	Walt Disney Pictures,presenter,production company.;Ruby Films (Firm),production company.;Essential Media (Firm),production company.;BBC Films,production company.;Hopscotch Features,production company.;Buena Vista Home Entertainment (Firm),publisher.
3415946	The hunt /Zentropa Entertainments præsenterer ; i co-produktion med Film i Väst Zentropa International Sweden ; en film af Thomas Vintergerg ; manuskript, Thomas Vinterberg & Tobias Lindholm ; producere, Sisse Graum Jørgensen & Morten Kaufmann.	Danish title :Jagten	Los Angeles, CA :Magnolia Home Entertainment,[2013]	1 videodisc (approximately 115 minutes) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2012.;Special features: outtakes; deleted scenes; making of The hunt; alternate ending; theatrical trailer.	Lucas is a former school teacher who has been forced to start over, having overcome a tough divorce and the loss of his job. Just as things are starting to go his way, his life is shattered when an untruthful remark throws his small community into a collective state of hysteria. As the lie spreads, Lucas is forced to fight for his life and dignity.	Divorced men--Drama.;Truthfulness and falsehood--Drama.;Teachers--Employment--Drama.			Vinterberg, Thomas,1969-screenwriter,film director.;Lindholm, Tobias,screenwriter.;Jørgensen, Sisse Graum,film producer.;Kaufmann, Morten,film producer.;Mikkelsen, Mads,1965-actor.;Larsen, Thomas Bo,1963-actor.;Wedderkopp, Annika,actor.;Egelund, Nikolaj,composer (expression)	Zentropa Entertainments (Firm),production company.;Film i Väst (Firm),production company.;Zentropa International Sweden (Firm),production company.;Magnolia Pictures (Firm),production company.;Magnolia Home Entertainment (Firm),film distributor.
3435868	Una vida sin palabras =A life without words.	Life without words	Watertown, MA :Documentary Educational Resources,[2013];©2013	1 videodisc (71 min.) :sound, color ;4 3/4 in	"Documentary;Cataloging information from container;Originally produced in 2011;""A film by Adam Isenberg""--Container"	"""In rural Nicaragua, Dulce Marìa and her bother Francisco are deaf adults without any language -- spoken, written, or signed -- until Tomasa, a deaf sign-language teacher, arrives determined to teach them their first words.""--Website"	Deaf--Nicaragua.;Deaf--Education--Nicaragua.;Nicaraguan Sign Language.		Nonfiction films.--lcgft;Feature films.--lcgft	Isenberg, Adam.	Documentary Educational Resources (Firm)
3439796	880-01Bethlehem[videorecording] /produced by Pie Films ; in co-production with Entre Chien et Loup, Gringo Films GmbH ; a film by Yuval Adler ; directed by Yuval Adler ; written by Yuval Adler, Ali Waked ; produced by Talia Kleinhendler ; producers, Osnat Handelsman-Keren and four others ; executive producer, Ephraim Gildor.	Bet Leḥem	[Israel] :NMC United Entertainment,[2013];©2013	1 videodisc (99 min.) :sound, color ;4 3/4 in	"Title and credits from English subtitles.;Originally released as a motion picture in 2013.;Dolby digital 5.1, wide screen, aspect ratio 16:9.;""A coproduction between Israel, Belgium and Germany © Pie Films LTD / Entre Chien et Loup / Gringo Films GmbH 2012""--End credits."	The complex relationship between an Israeli Secret Service officer and his teenage Palestinian informant. Shuttling back and forth between conflicting points of view, the film is a raw portrayal of characters torn apart by competing loyalties and impossible moral dilemmas, giving an unparalleled glimpse into the dark and fascinating world of human intelligence.	Secret service--Israel--Drama.;Intelligence service--Israel--Drama.;Palestinian Arabs--Israel--Drama.;Palestinian Arabs--West Bank--Drama.;Informers--Drama.;Arab-Israeli conflict--Drama.		Feature films.--lcgft;Thrillers (Motion pictures)--lcgft	Adler, Yuval,film director,screenwriter.;Waked, Ali,screenwriter.;Kleinhendler, Talia,film producer.;Handelsman-Keren, Osnat,film producer.;Gildor, Ephraim,film producer.;Halevi, Tsahi,actor.;Marʹi, Shadi,actor.;Omari, Hitham,actor.	Pie Films (Firm),production company.;Entre Chien et Loup (Firm),production company.;Gringo Films (Firm),production company.;NMC United Entertainment (Firm)
